State,Plan,District,Total Population,Pct Non-White,Pct Black,Pct Hispanic,Pct Asian,Primary Minority,Coalition
California,Enacted,4,760350,78.9%,4.0%,62.3%,8.0%,Hispanic,No
California,Enacted,5,760350,85.7%,3.6%,68.9%,8.8%,Hispanic,No
California,Enacted,6,760350,71.4%,2.8%,50.5%,13.1%,Hispanic,No
California,Enacted,7,760350,74.8%,4.5%,51.8%,13.4%,Hispanic,No
California,Enacted,8,760350,73.0%,4.7%,53.9%,9.3%,Hispanic,No
California,Enacted,9,760350,73.0%,3.3%,50.9%,13.8%,Hispanic,No
California,Enacted,10,760350,70.6%,2.8%,53.2%,9.9%,Hispanic,No
California,Enacted,11,760350,81.0%,4.5%,61.5%,9.8%,Hispanic,No
California,Enacted,12,760350,76.4%,4.0%,57.6%,10.1%,Hispanic,No
California,Enacted,13,760350,89.0%,4.7%,64.6%,15.1%,Hispanic,No
California,Enacted,14,760350,74.0%,4.7%,52.2%,12.7%,Hispanic,No
California,Enacted,15,760350,75.9%,4.0%,59.5%,7.9%,Hispanic,No
California,Enacted,16,760350,76.9%,4.4%,52.5%,14.3%,Hispanic,No
California,Enacted,17,760350,76.7%,3.8%,58.9%,8.3%,Hispanic,No
California,Enacted,18,760350,71.7%,3.5%,54.3%,8.5%,Hispanic,No
California,Enacted,19,760350,76.2%,4.2%,56.9%,10.6%,Hispanic,No
California,Enacted,20,760350,73.5%,4.3%,53.5%,10.1%,Hispanic,No
California,Enacted,21,760350,74.3%,4.0%,53.9%,10.2%,Hispanic,No
California,Enacted,22,760350,79.7%,3.8%,55.5%,14.9%,Hispanic,No
California,Enacted,23,760350,79.9%,4.8%,54.1%,15.1%,Hispanic,No
California,Enacted,24,760350,80.5%,3.0%,64.0%,7.7%,Hispanic,No
Delaware,Enacted,1,990837,72.5%,59.9%,5.4%,3.2%,Black,No
Florida,Algorithmic,1,769220,51.8%,11.6%,33.0%,3.3%,Hispanic,Yes
Florida,Algorithmic,3,769220,54.1%,16.6%,31.3%,2.9%,Hispanic,Yes
Florida,Algorithmic,5,769220,54.3%,11.8%,35.9%,3.0%,Hispanic,Yes
Florida,Algorithmic,7,769220,50.0%,20.3%,23.8%,2.3%,Hispanic,Yes
Florida,Algorithmic,8,769220,62.9%,21.3%,35.0%,2.8%,Hispanic,Yes
Florida,Algorithmic,10,769220,55.1%,13.2%,36.1%,2.2%,Hispanic,Yes
Florida,Algorithmic,18,769220,52.7%,19.1%,28.1%,2.5%,Hispanic,Yes
Florida,Algorithmic,19,769220,50.9%,19.8%,24.4%,3.6%,Hispanic,Yes
Florida,Algorithmic,24,769220,59.0%,21.1%,30.3%,3.8%,Hispanic,Yes
Georgia,Algorithmic,1,765136,53.3%,38.9%,7.6%,3.0%,Black,Yes
Georgia,Algorithmic,3,765136,57.4%,38.9%,10.5%,4.0%,Black,Yes
Georgia,Algorithmic,6,765136,55.7%,40.4%,9.2%,3.1%,Black,Yes
Georgia,Algorithmic,7,765136,51.5%,28.9%,13.7%,5.4%,Black,Yes
Georgia,Algorithmic,9,765136,52.0%,29.5%,13.5%,5.2%,Black,Yes
Georgia,Algorithmic,10,765136,59.2%,37.1%,13.2%,5.5%,Black,Yes
Georgia,Algorithmic,11,765136,51.1%,32.0%,11.4%,4.2%,Black,Yes
Georgia,Algorithmic,13,765136,61.4%,39.2%,12.6%,5.5%,Black,Yes
Georgia,Algorithmic,14,765136,58.9%,44.1%,6.5%,5.0%,Black,Yes
Georgia,Enacted,1,765136,75.4%,59.6%,9.0%,3.4%,Black,No
Georgia,Enacted,2,765136,72.7%,60.6%,7.0%,2.3%,Black,No
Georgia,Enacted,3,765136,72.7%,58.4%,9.4%,2.2%,Black,No
Georgia,Enacted,4,765136,69.9%,57.8%,6.9%,2.2%,Black,No
Georgia,Enacted,5,765136,73.6%,58.7%,8.9%,3.0%,Black,No
Hawaii,Algorithmic,1,727635,83.4%,2.6%,11.7%,43.6%,Asian,Yes
Hawaii,Algorithmic,2,727635,78.9%,1.7%,6.9%,46.0%,Asian,Yes
Hawaii,Enacted,1,727635,61.4%,1.4%,5.9%,28.2%,Asian,Yes
Hawaii,Enacted,2,727635,54.9%,1.0%,3.3%,24.5%,Other,Yes
Illinois,Algorithmic,17,753676,51.1%,16.8%,22.7%,6.8%,Hispanic,Yes
Louisiana,Algorithmic,1,776292,50.2%,38.3%,3.4%,1.6%,Black,Yes
Louisiana,Algorithmic,2,776292,50.6%,38.5%,5.6%,1.4%,Black,Yes
Louisiana,Algorithmic,4,776292,51.9%,40.0%,4.7%,1.6%,Black,Yes
Louisiana,Enacted,1,776292,79.3%,67.5%,5.0%,1.1%,Black,No
Louisiana,Enacted,2,776292,63.3%,52.1%,4.2%,1.5%,Black,No
Maryland,Algorithmic,1,772153,54.9%,31.8%,12.4%,4.9%,Black,Yes
Maryland,Algorithmic,3,772153,60.5%,39.9%,9.4%,4.7%,Black,Yes
Maryland,Algorithmic,4,772153,61.0%,33.5%,13.7%,6.7%,Black,Yes
Maryland,Algorithmic,5,772153,50.2%,26.1%,9.6%,7.3%,Black,Yes
Maryland,Algorithmic,6,772153,64.7%,40.9%,10.5%,8.0%,Black,Yes
Maryland,Algorithmic,7,772153,55.9%,33.8%,8.5%,8.1%,Black,Yes
Maryland,Algorithmic,8,772153,53.0%,32.2%,10.6%,5.1%,Black,Yes
Maryland,Enacted,1,772153,68.6%,51.5%,6.0%,4.3%,Black,No
Maryland,Enacted,2,772153,73.2%,56.0%,7.0%,5.4%,Black,No
Maryland,Enacted,3,772153,83.2%,63.5%,6.9%,5.8%,Black,No
Mississippi,Algorithmic,3,740319,52.8%,45.7%,3.0%,0.8%,Black,Yes
Mississippi,Enacted,1,740319,67.7%,60.8%,3.1%,1.1%,Black,No
Nevada,Algorithmic,1,776153,54.9%,6.8%,33.7%,8.5%,Hispanic,Yes
Nevada,Algorithmic,2,776153,55.9%,12.9%,26.5%,10.2%,Hispanic,Yes
Nevada,Algorithmic,3,776153,63.0%,10.2%,37.1%,9.7%,Hispanic,Yes
Nevada,Algorithmic,4,776153,64.2%,8.7%,41.1%,8.5%,Hispanic,Yes
New_Jersey,Algorithmic,1,774082,59.8%,16.9%,29.2%,9.5%,Hispanic,Yes
New_Jersey,Algorithmic,3,774082,55.4%,16.0%,28.3%,7.2%,Hispanic,Yes
New_Jersey,Algorithmic,5,774082,63.3%,17.2%,29.3%,13.0%,Hispanic,Yes
New_Jersey,Algorithmic,6,774082,56.3%,12.8%,26.6%,13.1%,Hispanic,Yes
New_Jersey,Algorithmic,10,774082,56.5%,11.1%,29.4%,12.0%,Hispanic,Yes
New_Jersey,Algorithmic,11,774082,57.6%,16.5%,26.4%,10.4%,Hispanic,Yes
New_Jersey,Algorithmic,12,774082,53.1%,15.4%,22.2%,10.3%,Hispanic,Yes
New_Mexico,Algorithmic,2,705840,54.9%,1.3%,41.1%,1.6%,Hispanic,Yes
New_Mexico,Algorithmic,3,705840,77.5%,1.5%,62.6%,1.5%,Hispanic,No
New_Mexico,Enacted,1,705840,75.5%,1.6%,63.9%,1.5%,Hispanic,No
New_Mexico,Enacted,2,705840,53.7%,1.0%,39.6%,1.7%,Hispanic,Yes
New_York,Algorithmic,1,776971,53.2%,17.4%,21.2%,8.9%,Hispanic,Yes
New_York,Algorithmic,4,776971,53.9%,16.5%,20.2%,12.0%,Hispanic,Yes
New_York,Algorithmic,5,776971,51.4%,18.4%,15.5%,12.1%,Black,Yes
New_York,Algorithmic,8,776971,56.3%,19.0%,22.3%,9.4%,Hispanic,Yes
New_York,Algorithmic,15,776971,54.3%,15.0%,24.5%,10.5%,Hispanic,Yes
New_York,Algorithmic,16,776971,55.0%,16.1%,26.4%,7.4%,Hispanic,Yes
New_York,Algorithmic,19,776971,53.5%,14.8%,21.8%,11.1%,Hispanic,Yes
New_York,Algorithmic,23,776971,61.6%,19.2%,25.9%,11.2%,Hispanic,Yes
New_York,Algorithmic,24,776971,58.3%,14.4%,27.1%,11.9%,Hispanic,Yes
New_York,Algorithmic,26,776971,57.9%,17.6%,23.4%,12.0%,Hispanic,Yes
North_Carolina,Enacted,1,745670,79.6%,63.9%,6.8%,2.0%,Black,No
North_Carolina,Enacted,2,745670,71.2%,56.0%,6.2%,2.0%,Black,No
North_Carolina,Enacted,3,745670,84.8%,66.3%,9.4%,2.5%,Black,No
South_Carolina,Enacted,1,731203,79.2%,69.9%,4.6%,0.9%,Black,No
South_Carolina,Enacted,2,731203,78.5%,70.0%,4.1%,1.7%,Black,No
Texas,Algorithmic,1,766986,50.1%,15.7%,25.6%,4.7%,Hispanic,Yes
Texas,Algorithmic,2,766986,70.2%,13.1%,48.9%,4.9%,Hispanic,Yes
Texas,Algorithmic,3,766986,67.3%,13.6%,43.4%,6.3%,Hispanic,Yes
Texas,Algorithmic,4,766986,52.4%,9.8%,35.0%,4.0%,Hispanic,Yes
Texas,Algorithmic,6,766986,56.2%,14.8%,31.2%,6.8%,Hispanic,Yes
Texas,Algorithmic,7,766986,63.2%,14.2%,40.9%,4.8%,Hispanic,Yes
Texas,Algorithmic,8,766986,67.5%,8.0%,50.2%,6.0%,Hispanic,No
Texas,Algorithmic,9,766986,54.8%,10.7%,34.9%,4.7%,Hispanic,Yes
Texas,Algorithmic,11,766986,59.3%,14.7%,36.4%,4.0%,Hispanic,Yes
Texas,Algorithmic,12,766986,63.6%,8.0%,45.5%,6.7%,Hispanic,Yes
Texas,Algorithmic,13,766986,65.3%,12.0%,44.1%,5.9%,Hispanic,Yes
Texas,Algorithmic,15,766986,51.7%,13.9%,28.2%,5.6%,Hispanic,Yes
Texas,Algorithmic,16,766986,64.7%,7.6%,47.0%,6.1%,Hispanic,Yes
Texas,Algorithmic,17,766986,57.6%,12.9%,35.3%,6.3%,Hispanic,Yes
Texas,Algorithmic,18,766986,71.9%,14.4%,47.8%,6.5%,Hispanic,Yes
Texas,Algorithmic,20,766986,64.4%,16.5%,37.4%,6.3%,Hispanic,Yes
Texas,Algorithmic,21,766986,77.6%,13.8%,54.6%,5.3%,Hispanic,No
Texas,Algorithmic,22,766986,60.5%,7.8%,44.8%,4.5%,Hispanic,Yes
Texas,Algorithmic,23,766986,55.5%,8.9%,37.4%,5.8%,Hispanic,Yes
Texas,Algorithmic,24,766986,78.1%,14.3%,53.2%,6.3%,Hispanic,No
Texas,Algorithmic,25,766986,52.6%,9.2%,33.6%,6.6%,Hispanic,Yes
Texas,Algorithmic,26,766986,70.2%,8.1%,53.7%,5.2%,Hispanic,No
Texas,Algorithmic,27,766986,77.6%,15.4%,54.3%,4.3%,Hispanic,No
Texas,Algorithmic,28,766986,52.7%,12.4%,32.3%,4.7%,Hispanic,Yes
Texas,Algorithmic,30,766986,71.0%,14.4%,45.6%,6.6%,Hispanic,Yes
Texas,Algorithmic,31,766986,78.2%,13.4%,54.7%,5.9%,Hispanic,No
Texas,Algorithmic,33,766986,76.2%,14.3%,52.9%,5.7%,Hispanic,No
Texas,Algorithmic,35,766986,74.9%,11.0%,55.4%,4.1%,Hispanic,No
Texas,Algorithmic,37,766986,63.6%,11.3%,44.3%,4.9%,Hispanic,Yes
Texas,Algorithmic,38,766986,71.8%,14.5%,50.4%,3.7%,Hispanic,No
Texas,Enacted,1,766986,66.2%,7.8%,51.0%,3.8%,Hispanic,No
Texas,Enacted,2,766986,83.4%,10.6%,65.4%,3.8%,Hispanic,No
Texas,Enacted,3,766986,82.7%,9.0%,66.8%,2.9%,Hispanic,No
Texas,Enacted,4,766986,83.2%,8.7%,66.0%,5.0%,Hispanic,No
Texas,Enacted,5,766986,73.2%,9.3%,56.7%,3.2%,Hispanic,No
Texas,Enacted,6,766986,67.0%,8.3%,52.3%,2.7%,Hispanic,No
Texas,Enacted,7,766986,76.9%,9.8%,59.8%,3.4%,Hispanic,No
Texas,Enacted,8,766986,67.2%,9.3%,50.6%,3.0%,Hispanic,No
Texas,Enacted,9,766986,69.0%,9.7%,50.6%,4.5%,Hispanic,No
Texas,Enacted,10,766986,66.0%,7.7%,51.2%,2.7%,Hispanic,No
Texas,Enacted,11,766986,83.1%,9.2%,66.6%,4.0%,Hispanic,No
Texas,Enacted,12,766986,83.7%,9.9%,65.0%,4.5%,Hispanic,No
Texas,Enacted,13,766986,80.1%,9.2%,62.4%,5.0%,Hispanic,No
Texas,Enacted,14,766986,85.0%,11.1%,65.4%,4.8%,Hispanic,No
Texas,Enacted,15,766986,81.2%,8.2%,64.9%,4.7%,Hispanic,No
Texas,Enacted,16,766986,72.9%,7.8%,56.7%,4.7%,Hispanic,No
Texas,Enacted,17,766986,67.5%,6.2%,55.2%,2.7%,Hispanic,No
Texas,Enacted,18,766986,76.0%,10.8%,58.8%,3.2%,Hispanic,No
